================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t= 202.5s | pag= 79 | files= 397 | data=  9 | cola= 111 | prio=10 | https://www.icco.org/categorie-produit/monthly-reports/
[FULL_26_FDTA_VALLES] t= 204.1s | pag= 80 | files= 397 | data=  9 | cola= 112 | prio=10 | https://www.icco.org/categorie-produit/monthly-reports/?s=
[FULL_26_FDTA_VALLES] t= 206.0s | pag= 81 | files= 397 | data=  9 | cola= 112 | prio=10 | https://www.icco.org/categorie-produit/monthly-reports/?add-to-cart=28732
[FULL_26_FDTA_VALLES] t= 208.1s | pag= 81 | files= 397 | data=  9 | cola= 111 | prio=10 | https://www.icco.org/categorie-produit/monthly-reports/?add-to-cart=28732&s=
[FULL_26_FDTA_VALLES] t= 210.5s | pag= 82 | files= 397 | data=  9 | cola= 110 | prio=50 | https://www.icco.org/?s=
[FULL_26_FDTA_VALLES] t= 212.5s | pag= 83 | files= 397 | data=  9 | cola= 109 | prio=50 | https://www.icco.org/united-nations-cocoa-conference-2026-geneva-switzerland/
[FULL_26_FDTA_VALLES] t= 213.9s | pag= 84 | files= 397 | data=  9 | cola= 110 | prio=50 | https://www.icco.org/world-cocoa-bean-stocks-for-the-2024-25-season/
[FULL_26_FDTA_VALLES] t= 215.4s | pag= 85 | files= 397 | data=  9 | cola= 110 | prio=50 | https://www.icco.org/relaunch-of-the-call-for-bids-to-host-the-6th-world-cocoa-conference-wcc-2027/
[FULL_26_FDTA_VALLES] t= 216.8s | pag= 86 | files= 397 | data=  9 | cola= 111 | prio=50 | https://icco.org/about-us/who-we-are/
[FULL_26_FDTA_VALLES] t= 220.4s | pag= 86 | files= 397 | data=  9 | cola= 110 | prio=50 | https://icco.org/icco-documentation/icco-agreements-and-their-history/
