================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 566.1s | pag=124 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 567.4s | pag=125 | files=1877 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 568.9s | pag=126 | files=1877 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 570.4s | pag=127 | files=1877 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 571.9s | pag=128 | files=1877 | data=  6 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 573.6s | pag=129 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 575.2s | pag=130 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 576.7s | pag=131 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 578.2s | pag=132 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 580.0s | pag=133 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
