================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 484.2s | pag= 78 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion
[BCB] t= 485.5s | pag= 79 | files=1205 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_boletin-estadistico
[BCB] t= 487.5s | pag= 80 | files=1215 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=pub_boletin-estadistico
[BCB] t= 488.6s | pag= 81 | files=1225 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=pub_boletin-estadistico
[BCB] t= 490.3s | pag= 82 | files=1235 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_boletin-estadistico
[BCB] t= 492.2s | pag= 83 | files=1245 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=pub_boletin-estadistico
[BCB] t= 493.3s | pag= 84 | files=1255 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=pub_boletin-estadistico
[BCB] t= 495.5s | pag= 85 | files=1279 | data=  6 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=pub_boletin-estadistico
[BCB] t= 496.8s | pag= 86 | files=1429 | data=  6 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=pub_boletin-estadistico
[BCB] t= 498.1s | pag= 87 | files=1534 | data=  6 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=publicaciones_dtr
