================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=  51.6s | pag= 62 | files=   4 | data= 16 | cola= 446 | prio= 1 | https://www.transtats.bts.gov/Fields.asp?gnoyr_VQ=GEF
[TRANSTATS] t=  52.2s | pag= 63 | files=   4 | data= 17 | cola= 464 | prio= 1 | https://www.transtats.bts.gov/Fields.asp?gnoyr_VQ=GDF
[TRANSTATS] t=  52.8s | pag= 64 | files=   4 | data= 18 | cola= 486 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=Nf&Pn44vr4_anzr=Nyn5xn
[TRANSTATS] t=  53.7s | pag= 64 | files=   4 | data= 18 | cola= 485 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=TH&Pn44vr4_anzr=Nyyrtvn06+Nv4
[TRANSTATS] t=  55.8s | pag= 64 | files=   4 | data= 18 | cola= 484 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=NN&Pn44vr4_anzr=Nzr4vpn0
[TRANSTATS] t=  57.8s | pag= 64 | files=   4 | data= 18 | cola= 483 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=Il&Pn44vr4_anzr=N6yn5+Nv4
[TRANSTATS] t=  59.9s | pag= 64 | files=   4 | data= 18 | cola= 482 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=QY&Pn44vr4_anzr=Qry6n
[TRANSTATS] t=  61.8s | pag= 64 | files=   4 | data= 18 | cola= 481 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=Zd&Pn44vr4_anzr=R081B+Nv4
[TRANSTATS] t=  63.7s | pag= 64 | files=   4 | data= 18 | cola= 480 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=Sk&Pn44vr4_anzr=Srqr4ny+RA24r55
[TRANSTATS] t=  65.9s | pag= 64 | files=   4 | data= 18 | cola= 479 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=SM&Pn44vr4_anzr=S4106vr4
[TRANSTATS] t=  67.9s | pag= 64 | files=   4 | data= 18 | cola= 478 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=OJ&Pn44vr4_anzr=Wr6Oy7r
[TRANSTATS] t=  69.9s | pag= 64 | files=   4 | data= 18 | cola= 477 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=XNd&Pn44vr4_anzr=Xnyv66n+Nv4
[TRANSTATS] t=  72.3s | pag= 64 | files=   4 | data= 18 | cola= 476 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=cb&Pn44vr4_anzr=c1yn4+Nv4+Pn4t1
[TRANSTATS] t=  74.5s | pag= 64 | files=   4 | data= 18 | cola= 475 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=lk&Pn44vr4_anzr=er27oyvp+Nv4yv0r
[TRANSTATS] t=  76.5s | pag= 64 | files=   4 | data= 18 | cola= 474 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=bb&Pn44vr4_anzr=fxBjr56
[TRANSTATS] t=  78.6s | pag= 64 | files=   4 | data= 18 | cola= 473 | prio= 1 | https://www.transtats.bts.gov/Employment/TimeSeries.aspx?Pn44vr4=ja&Pn44vr4_anzr=f176u9r56
