================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t= 125.2s | pag=  2 | files= 126 | data=  1 | cola=  56 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_02_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 126.4s | pag=  2 | files= 126 | data=  1 | cola=  55 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_03_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 127.6s | pag=  2 | files= 126 | data=  1 | cola=  54 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_04_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 128.9s | pag=  2 | files= 126 | data=  1 | cola=  53 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_05_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 130.2s | pag=  2 | files= 126 | data=  1 | cola=  52 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_06_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 131.5s | pag=  2 | files= 126 | data=  1 | cola=  51 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_07_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 132.6s | pag=  2 | files= 126 | data=  1 | cola=  50 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_08_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 133.9s | pag=  2 | files= 126 | data=  1 | cola=  49 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_09_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 135.4s | pag=  2 | files= 126 | data=  1 | cola=  48 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_10_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 136.7s | pag=  2 | files= 126 | data=  1 | cola=  47 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_11_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 137.9s | pag=  2 | files= 126 | data=  1 | cola=  46 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_12_2018-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 139.1s | pag=  2 | files= 126 | data=  1 | cola=  45 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_01_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 140.2s | pag=  2 | files= 126 | data=  1 | cola=  44 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_02_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 141.4s | pag=  2 | files= 126 | data=  1 | cola=  43 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_03_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 142.7s | pag=  2 | files= 126 | data=  1 | cola=  42 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_04_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 144.0s | pag=  2 | files= 126 | data=  1 | cola=  41 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_05_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 145.3s | pag=  2 | files= 126 | data=  1 | cola=  40 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_06_2017-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 146.4s | pag=  2 | files= 126 | data=  1 | cola=  39 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2017/financiera_07_2017-pdf.sha
