================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] t= 210.1s | pag= 89 | files=  21 | data=  2 | cola=5338 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/36-post-balance-sheet-events-2022/
[RETRY_07_FIFA] t= 210.9s | pag= 90 | files=  21 | data=  2 | cola=5337 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/28-reserves-2022/
[RETRY_07_FIFA] t= 212.4s | pag= 91 | files=  21 | data=  2 | cola=5336 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/32-contingent-liabilities-2022/
[RETRY_07_FIFA] t= 214.1s | pag= 92 | files=  21 | data=  2 | cola=5335 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/reports-to-the-fifa-congress-2022/
[RETRY_07_FIFA] t= 216.2s | pag= 93 | files=  23 | data=  2 | cola=5334 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-financials/consolidated-statement-of-comprehensive-income-2019-2022/
[RETRY_07_FIFA] t= 217.5s | pag= 94 | files=  23 | data=  2 | cola=5345 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-financials/notes-2019-2022/
[RETRY_07_FIFA] t= 218.8s | pag= 95 | files=  23 | data=  2 | cola=5344 | prio=10 | https://publications.fifa.com/en/annual-report-2022/in-memoriam-2022/
[RETRY_07_FIFA] t= 220.1s | pag= 96 | files=  23 | data=  2 | cola=5343 | prio=10 | https://www.fifa.com/legal/data-protection-portal/
[RETRY_07_FIFA] t= 225.5s | pag= 97 | files=  23 | data=  2 | cola=5342 | prio=10 | https://publications.fifa.com/en/cookies/
[RETRY_07_FIFA] t= 226.5s | pag= 98 | files=  23 | data=  2 | cola=5343 | prio=10 | https://publications.fifa.com/en/annual-report-2021/
[RETRY_07_FIFA] t= 228.6s | pag= 99 | files=  23 | data=  2 | cola=5342 | prio=10 | https://publications.fifa.com/es/annual-report-2021/
[RETRY_07_FIFA] t= 230.0s | pag=100 | files=  24 | data=  2 | cola=5394 | prio=10 | https://publications.fifa.com/de/annual-report-2021/
[RETRY_07_FIFA] t= 231.7s | pag=101 | files=  25 | data=  2 | cola=5449 | prio=10 | https://publications.fifa.com/fr/annual-report-2021/
[RETRY_07_FIFA] t= 233.1s | pag=102 | files=  26 | data=  2 | cola=5501 | prio=10 | https://publications.fifa.com/en/annual-report-2021/highlights/
[RETRY_07_FIFA] t= 234.4s | pag=103 | files=  26 | data=  2 | cola=5500 | prio=10 | https://publications.fifa.com/en/annual-report-2021/forewords/
[RETRY_07_FIFA] t= 236.2s | pag=104 | files=  26 | data=  2 | cola=5499 | prio=10 | https://publications.fifa.com/en/annual-report-2021/looking-ahead/
[RETRY_07_FIFA] t= 237.5s | pag=105 | files=  26 | data=  2 | cola=5498 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/semblence-of-normality/
[RETRY_07_FIFA] t= 239.1s | pag=106 | files=  26 | data=  2 | cola=5497 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/the-return-to-football/
[RETRY_07_FIFA] t= 240.5s | pag=107 | files=  26 | data=  2 | cola=5496 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/the-best-fifa-football-awards/
[RETRY_07_FIFA] t= 241.9s | pag=108 | files=  26 | data=  2 | cola=5495 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/the-future-of-football/
[RETRY_07_FIFA] t= 243.3s | pag=109 | files=  26 | data=  2 | cola=5494 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/covid-19/
[RETRY_07_FIFA] t= 244.5s | pag=110 | files=  26 | data=  2 | cola=5493 | prio=10 | https://publications.fifa.com/en/annual-report-2021/2021-at-a-glance/presidents-vision-2020-2023/
[RETRY_07_FIFA] t= 245.9s | pag=111 | files=  26 | data=  2 | cola=5492 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/technical-development-2021/
[RETRY_07_FIFA] t= 247.3s | pag=112 | files=  26 | data=  2 | cola=5491 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/professional-football-2021/
[RETRY_07_FIFA] t= 248.5s | pag=113 | files=  26 | data=  2 | cola=5490 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/womens-football-2021/
[RETRY_07_FIFA] t= 249.8s | pag=114 | files=  26 | data=  2 | cola=5489 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/maximising-global-impact/
[RETRY_07_FIFA] t= 251.4s | pag=115 | files=  26 | data=  2 | cola=5488 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/social-responsibility/
[RETRY_07_FIFA] t= 254.1s | pag=116 | files=  26 | data=  2 | cola=5487 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/afghanistan/
[RETRY_07_FIFA] t= 255.2s | pag=117 | files=  26 | data=  2 | cola=5486 | prio=10 | https://publications.fifa.com/en/annual-report-2021/around-fifa/safeguarding-child-protection/
