================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t= 231.5s | pag=127 | files=  16 | data=  0 | cola= 278 | prio=25 | https://cadexco.bo/evento/agropecruz/
[RETRY_02_CADEXCO] t= 233.1s | pag=128 | files=  16 | data=  0 | cola= 277 | prio=25 | https://cadexco.bo/evento/grocery-innovations-canada/
[RETRY_02_CADEXCO] t= 234.9s | pag=129 | files=  16 | data=  0 | cola= 276 | prio=25 | https://cadexco.bo/evento/fima-agricola/
[RETRY_02_CADEXCO] t= 236.9s | pag=130 | files=  16 | data=  0 | cola= 275 | prio=25 | https://cadexco.bo/evento/genera/
[RETRY_02_CADEXCO] t= 238.5s | pag=131 | files=  16 | data=  0 | cola= 274 | prio=25 | https://cadexco.bo/evento/francal/
[RETRY_02_CADEXCO] t= 240.4s | pag=132 | files=  16 | data=  0 | cola= 273 | prio=25 | https://cadexco.bo/evento/international-floriculture-expo/
[RETRY_02_CADEXCO] t= 242.1s | pag=133 | files=  16 | data=  0 | cola= 272 | prio=25 | https://cadexco.bo/evento/agriflor-ecuador/
[RETRY_02_CADEXCO] t= 244.0s | pag=134 | files=  16 | data=  0 | cola= 271 | prio=25 | https://cadexco.bo/evento/domotex-hannover/
[RETRY_02_CADEXCO] t= 245.8s | pag=135 | files=  16 | data=  0 | cola= 270 | prio=25 | https://cadexco.bo/evento/fimma/
[RETRY_02_CADEXCO] t= 247.4s | pag=136 | files=  16 | data=  0 | cola= 269 | prio=25 | https://cadexco.bo/evento/feicom-batimat/
[RETRY_02_CADEXCO] t= 248.9s | pag=137 | files=  16 | data=  0 | cola= 268 | prio=25 | https://cadexco.bo/evento/mosbuild/
[RETRY_02_CADEXCO] t= 250.4s | pag=138 | files=  16 | data=  0 | cola= 267 | prio=25 | https://cadexco.bo/evento/eurobois/
